Freq.	V(vout+)-V(vout-)
2.04173794466952e-002	(-6.63483880364416e+000dB,-1.14788996456792e+002°)
2.08929613085403e-002	(-6.47067126205099e+000dB,-1.15294916884699e+002°)
2.13796208950222e-002	(-6.30787825197744e+000dB,-1.15808286810809e+002°)
2.18776162394954e-002	(-6.14650009480294e+000dB,-1.16329048664227e+002°)
2.23872113856833e-002	(-5.98657734608006e+000dB,-1.16857134346546e+002°)
2.29086765276776e-002	(-5.82815072072585e+000dB,-1.17392464918871e+002°)
2.34422881531991e-002	(-5.67126101335284e+000dB,-1.17934950311530e+002°)
2.39883291901948e-002	(-5.51594901385570e+000dB,-1.18484489059632e+002°)
2.45470891568502e-002	(-5.36225541841571e+000dB,-1.19040968067602e+002°)
2.51188643150957e-002	(-5.21022073613424e+000dB,-1.19604262405906e+002°)
2.57039578276885e-002	(-5.05988519155706e+000dB,-1.20174235143086e+002°)
2.63026799189537e-002	(-4.91128862340309e+000dB,-1.20750737216214e+002°)
2.69153480392690e-002	(-4.76447037986468e+000dB,-1.21333607342747e+002°)
2.75422870333815e-002	(-4.61946921089896e+000dB,-1.21922671976638e+002°)
2.81838293126444e-002	(-4.47632315798258e+000dB,-1.22517745311371e+002°)
2.88403150312659e-002	(-4.33506944185311e+000dB,-1.23118629332359e+002°)
2.95120922666637e-002	(-4.19574434880891e+000dB,-1.23725113920887e+002°)
3.01995172040200e-002	(-4.05838311618526e+000dB,-1.24336977011454e+002°)
3.09029543251357e-002	(-3.92301981766566e+000dB,-1.24953984804031e+002°)
3.16227766016836e-002	(-3.78968724912402e+000dB,-1.25575892032345e+002°)
3.23593656929626e-002	(-3.65841681572416e+000dB,-1.26202442288890e+002°)
3.31131121482589e-002	(-3.52923842102693e+000dB,-1.26833368406869e+002°)
3.38844156139201e-002	(-3.40218035887200e+000dB,-1.27468392898833e+002°)
3.46736850452530e-002	(-3.27726920880960e+000dB,-1.28107228451221e+002°)
3.54813389233573e-002	(-3.15452973585738e+000dB,-1.28749578473523e+002°)
3.63078054770099e-002	(-3.03398479534775e+000dB,-1.29395137700230e+002°)
3.71535229097170e-002	(-2.91565524361251e+000dB,-1.30043592843205e+002°)
