*Frequency 	VM1-abs (dB)	VM1-phase (deg)	Vin-abs (dB)	Vin-phase (deg)
0.0338844156139202	-27.4236738495822	-92.438267182995	0	0
0.0345939377826122	-27.2440064481038	-92.489259678538	0	0
0.0353183169791957	-27.0643530942308	-92.5413158600017	0	0
0.0360578643021642	-26.8847143800834	-92.5944577400106	0	0
0.0368128973642531	-26.7050909226376	-92.6487077754943	0	0
0.0375837404288444	-26.5254833647592	-92.7040888759325	0	0
0.0383707245492279	-26.3458923762811	-92.7606244117054	0	0
0.0391741877107783	-26.1663186551234	-92.8183382225486	0	0
0.0399944749761098	-25.9867629284606	-92.877254626109	0	0
0.0408319386332692	-25.8072259539348	-92.9373984265989	0	0
0.0416869383470335	-25.627708520919	-92.9987949235466	0	0
0.0425598413133743	-25.4482114518319	-93.0614699206396	0	0
0.0434510224171571	-25.2687356035051	-93.1254497346556	0	0
0.0443608643931432	-25.0892818686058	-93.1907612044794	0	0
0.0452897579903621	-24.9098511771173	-93.2574317001985	0	0
