Freq.	V(vin)
1.44543977074592e-002	(-3.04576187692480e+001dB,-2.78732715175447e-011°)
1.47910838816820e-002	(-3.04576187692480e+001dB,-2.85225232965607e-011°)
1.51356124843620e-002	(-3.04576187692480e+001dB,-2.91868980741857e-011°)
1.54881661891247e-002	(-3.04576187692480e+001dB,-2.98667481271290e-011°)
1.58489319246111e-002	(-3.04576187692480e+001dB,-3.05624339166357e-011°)
1.62181009735892e-002	(-3.04576187692480e+001dB,-3.12743242917425e-011°)
1.65958690743755e-002	(-3.04576187692480e+001dB,-3.20027967113362e-011°)
1.69824365246174e-002	(-3.04576187692480e+001dB,-3.27482374255124e-011°)
1.73780082874937e-002	(-3.04576187692480e+001dB,-3.35110416706437e-011°)
1.77827941003891e-002	(-3.04576187692480e+001dB,-3.42916138929186e-011°)
1.81970085860997e-002	(-3.04576187692480e+001dB,-3.50903679658265e-011°)
1.86208713666286e-002	(-3.04576187692480e+001dB,-3.59077273905189e-011°)
1.90546071796324e-002	(-3.04576187692480e+001dB,-3.67441255497924e-011°)
1.94984459975804e-002	(-3.04576187692480e+001dB,-3.76000059018671e-011°)
1.99526231496887e-002	(-3.04576187692480e+001dB,-3.84758222487056e-011°)
2.04173794466952e-002	(-3.04576187692480e+001dB,-3.93720389579996e-011°)
2.08929613085403e-002	(-3.04576187692480e+001dB,-4.02891312166970e-011°)
2.13796208950222e-002	(-3.04576187692480e+001dB,-4.12275852702962e-011°)
2.18776162394954e-002	(-3.04576187692480e+001dB,-4.21878987023837e-011°)
2.23872113856833e-002	(-3.04576187692480e+001dB,-4.31705806716535e-011°)
2.29086765276776e-002	(-3.04576187692480e+001dB,-4.41761522255220e-011°)
2.34422881531991e-002	(-3.04576187692480e+001dB,-4.52051465144786e-011°)
2.39883291901948e-002	(-3.04576187692480e+001dB,-4.62581091253934e-011°)
2.45470891568502e-002	(-3.04576187692480e+001dB,-4.73355983458982e-011°)
2.51188643150957e-002	(-3.04576187692480e+001dB,-4.84381854789534e-011°)
2.57039578276885e-002	(-3.04576187692480e+001dB,-4.95664551179439e-011°)
2.63026799189537e-002	(-3.04576187692480e+001dB,-5.07210054927411e-011°)
2.69153480392690e-002	(-3.04576187692480e+001dB,-5.19024487437630e-011°)
2.75422870333815e-002	(-3.04576187692480e+001dB,-5.31114112948105e-011°)
2.81838293126444e-002	(-3.04576187692480e+001dB,-5.43485341487885e-011°)
2.88403150312659e-002	(-3.04576187692480e+001dB,-5.56144732289748e-011°)
2.95120922666637e-002	(-3.04576187692480e+001dB,-5.69098997606320e-011°)
3.01995172040200e-002	(-3.04576187692480e+001dB,-5.82355005759138e-011°)
3.09029543251357e-002	(-3.04576187692480e+001dB,-5.95919785299726e-011°)
3.16227766016836e-002	(-3.04576187692480e+001dB,-6.09800528388074e-011°)
3.23593656929626e-002	(-3.04576187692480e+001dB,-6.24004594595951e-011°)
3.31131121482589e-002	(-3.04576187692480e+001dB,-6.38539515136464e-011°)
3.38844156139201e-002	(-3.04576187692480e+001dB,-6.53412996520490e-011°)
3.46736850452530e-002	(-3.04576187692480e+001dB,-6.68632924640455e-011°)
3.54813389233573e-002	(-3.04576187692480e+001dB,-6.84207369456194e-011°)
3.63078054770099e-002	(-3.04576187692480e+001dB,-7.00144588300634e-011°)
3.71535229097170e-002	(-3.04576187692480e+001dB,-7.16453031565326e-011°)
3.80189396320559e-002	(-3.04576187692480e+001dB,-7.33141345867908e-011°)
3.89045144994278e-002	(-3.04576187692480e+001dB,-7.50218379328371e-011°)
3.98107170553495e-002	(-3.04576187692480e+001dB,-7.67693186519270e-011°)
4.07380277804110e-002	(-3.04576187692480e+001dB,-7.85575032507520e-011°)
4.16869383470333e-002	(-3.04576187692480e+001dB,-8.03873398351055e-011°)
4.26579518801590e-002	(-3.04576187692480e+001dB,-8.22597986013272e-011°)
4.36515832240163e-002	(-3.04576187692480e+001dB,-8.41758723257011e-011°)
4.46683592150960e-002	(-3.04576187692480e+001dB,-8.61365769144957e-011°)
4.57088189614872e-002	(-3.04576187692480e+001dB,-8.81429519418386e-011°)
4.67735141287195e-002	(-3.04576187692480e+001dB,-9.01960611936380e-011°)
4.78630092322635e-002	(-3.04576187692480e+001dB,-9.22969932146009e-011°)
4.89778819368443e-002	(-3.04576187692480e+001dB,-9.44468619483999e-011°)
5.01187233627269e-002	(-3.04576187692480e+001dB,-9.66468072254107e-011°)
5.12861383991362e-002	(-3.04576187692480e+001dB,-9.88979954924161e-011°)
5.24807460249769e-002	(-3.04576187692480e+001dB,-1.01201620290292e-010°)
5.37031796370249e-002	(-3.04576187692480e+001dB,-1.03558903025727e-010°)
5.49540873857621e-002	(-3.04576187692480e+001dB,-1.05971093504122e-010°)
